rank,Latitude,Longitude,Name of City,Country,2021 Population,2020 Population,Growth,Population Difference,Population Change,SO2,NO2,PM10,PM2.5,O3,CO
717,-26.6747222,27.9261111,Vereeniging,South Africa,779530,774031,0.0071,5499,grew,30.52,33.59,44.05,25.65,46.49,854.49
718,36.4441808,115.9642007,Liaocheng,China,778562,760885,0.0232,17677,grew,34.81,34.96,91.59,57.13,41.49,767.71
719,47.6038321,-122.3300624,Seattle,United States,776555,765115,0.015,11440,grew,5.72,32.9,15.5,10.73,58.65,467.3
720,35.2075729,113.2533977,Jiaozuo,China,775685,766770,0.0116,8915,grew,49.59,61.69,91.93,47.92,18.95,594.14
721,33.8579594,115.772453,Bozhou,China,773217,742150,0.0419,31067,grew,32.42,101.45,215.7,168.67,0.08,1615.52
722,14.4493717,79.9873763,Nellore,India,772941,751034,0.0292,21907,grew,1.65,6.43,71.1,58.48,45.42,487.33
723,43.2560802,-79.8728583,Hamilton,Canada,770976,766688,0.0056,4288,grew,9.66,18.85,5.31,3.3,59.37,327.11
724,40.8006696,29.431767,Gebze,Turkey,769633,744674,0.0335,24959,grew,7.75,9.85,12.84,10.48,75.1,320.44
726,32.1738588,120.0466771,Taixing,China,769620,747588,0.0295,22032,grew,16.21,68.55,105.79,86.05,4.96,921.25
725,8.4756417,124.6421532,Cagayan de Oro City,Philippines,769620,753138,0.0219,16482,grew,1.28,4.03,13.58,11.67,41.49,387.19
727,50.0619474,19.9368564,Krakow,Poland,769307,768731,0.0007,576,grew,21.22,21.76,28.14,19.85,53.64,410.56
728,31.3869323,120.9764683,Kunshan,China,769021,737654,0.0425,31367,grew,14.66,23.99,32.76,24.9,62.23,417.23
729,24.8136095,113.5922116,Shaoguan,China,767557,761249,0.0083,6308,grew,14.07,80.88,124.57,119.14,0,1188.28
730,26.6711433,83.3645724,Gorakhpur,India,766646,758214,0.0111,8432,grew,15.74,9.68,102.32,79.81,92.98,600.82
731,14.3270819,120.9370871,Dasmarinas,Philippines,765742,747208,0.0248,18534,grew,19.31,21.08,19.68,11.95,34.33,494
732,21.1545412,77.6442962,Amravati,India,764645,752189,0.0166,12456,grew,1.97,9.85,51.44,37.23,58.65,440.6
733,35.493783,112.8519862,Jincheng,China,763554,733879,0.0404,29675,grew,27.42,23.31,105.22,50.27,42.92,580.79
734,39.5128345,116.6997446,Langfang,China,763320,739632,0.032,23688,grew,62.94,80.88,110.17,74.43,0.22,1148.22
735,43.6908432,0.7735233,Ansan,South Korea,762698,760764,0.0025,1934,grew,0.14,4.03,2.86,2.6,55.79,253.68
736,24.9304741,50.9776888,Ar-Rayyan,Qatar,759174,737903,0.0288,21271,grew,5.19,22.96,115.31,70.23,86.55,333.79
737,35.5574725,45.435202,Sulaimaniya,Iraq,758795,739182,0.0265,19613,grew,34.81,35.64,66.83,29.31,62.23,433.92
738,20.4686,85.8792,Cuttack,India,751859,742011,0.0133,9848,grew,4.47,5.66,79.52,67.74,98.71,423.91
739,31.263235,32.305505,Bur Sa'id,Egypt,750373,737000,0.0181,13373,grew,1.16,1.41,10.81,2.71,105.86,233.65
740,39.7392364,-104.9848623,Denver,United States,749103,738157,0.0148,10946,grew,3.87,7.63,4.27,3.23,62.94,283.72
741,30.079061,103.8458201,Meishan,China,748981,723267,0.0356,25714,grew,10.01,32.9,94.39,58.85,27.54,814.44
742,33.0115818,114.0164565,Zhumadian,China,747329,716002,0.0438,31327,grew,30.99,56.21,193.24,89.39,6.26,907.9
743,29.3419256,104.7761224,Zigong,China,746711,737291,0.0128,9420,grew,9.42,28.1,125.37,78.53,17.52,1068.12
744,-12.9104657,14.0356608,Benguela,Angola,745372,715130,0.0423,30242,grew,1.58,1.16,4.01,2.34,38.62,400.54
745,36.3654065,119.8005385,Gaomi,China,745055,716261,0.0402,28794,grew,42.92,47.98,79.32,55.1,21.99,794.41
746,30.6592336,116.6302585,Anqing,China,744768,726950,0.0245,17818,grew,13.83,37.36,156.35,141.87,33.98,907.9
747,23.6832984,113.0505994,Qingyuan,China,744726,734856,0.0134,9870,grew,8.35,76.08,80.91,76.68,0,1094.82
748,-3.3187496,114.5925828,Banjarmasin,Indonesia,744334,732005,0.0168,12329,grew,0.41,4.07,9.5,8.56,5.32,467.3
749,30.6751205,113.8323146,Hanchuan,China,743610,715218,0.0397,28392,grew,25.75,98.71,175.55,150.28,5.45,1174.93
750,32.0109736,119.6012702,Danyang,China,743482,718649,0.0346,24833,grew,21.46,95.96,168.2,140.57,0,1308.44
751,29.4480063,77.740685,Muzaffarnagar,India,742227,716748,0.0355,25479,grew,7.15,8.14,69.12,54.77,97.28,580.79
752,7.802355,6.7430327,Lokoja,Nigeria,741482,692050,0.0714,49432,grew,0.53,1.15,139.58,50.39,50.07,380.52
753,32.6450475,130.6341345,Kumamoto,Japan,741455,742612,-0.0016,1157,declined,3.4,9.17,9.61,7.65,75.1,370.5
754,9.6287383,76.6455326,Kottayam,India,739212,696061,0.062,43151,grew,12.04,54.84,106,76.58,16.27,1188.28
755,15.8572666,74.5069343,Belgaum,India,738074,724747,0.0184,13327,grew,6.14,11.14,104.26,90.96,84.4,707.63
756,32.0668425,36.0885771,Zarqa,Jordan,737085,729220,0.0108,7865,grew,2.65,16.11,7.35,4.97,78.68,283.72
757,11.0248119,7.6518533,Zaria,Nigeria,736098,726172,0.0137,9926,grew,2.41,6.17,353.02,98.28,90.84,560.76
758,53.3806626,-1.4702278,Sheffield,United Kingdom,735292,730158,0.007,5134,grew,4.05,16.79,9.76,8.65,52.21,313.76
759,-6.0999443,39.3209443,Zanzibar,Tanzania,734832,705078,0.0422,29754,grew,0.19,0.39,6.4,2.58,37.19,310.42
760,31.5128679,34.4581358,Gaza,Palestine,734547,713621,0.0293,20926,grew,0.78,0.37,4.68,1.54,108.72,226.97
761,41.6521342,-0.8809428,Zaragoza,Spain,733825,730828,0.0041,2997,grew,0.14,2.29,0.84,0.67,74.39,270.37
762,28.8602058,121.1419179,Linhai,China,732334,708981,0.0329,23353,grew,20.5,97.33,119.2,111.36,0,947.95
763,47.8507859,35.1182867,Zaporizhzhya,Ukraine,731984,736167,-0.0057,4183,declined,3.34,6.68,7.13,4.47,70.81,277.04
764,20.5902502,74.5714979,Malegaon,India,731493,715605,0.0222,15888,grew,3.22,5.83,55.54,36.28,56.51,390.53
765,-23.1860383,-45.8866816,Sao Jose dos Campos,Brazil,731481,721795,0.0134,9686,grew,0.54,1.33,3.13,1.79,60.08,260.35
766,7.7791666,4.5538891,Oshogbo,Nigeria,730529,713677,0.0236,16852,grew,11.92,26.05,278.2,159.25,39.34,2510.07
767,39.604,109.785,Ordos City,China,730229,706657,0.0334,23572,grew,8.35,13.88,124.27,30.03,56.51,247
768,26.958944,111.283087,Shaoyang,China,729522,713559,0.0224,15963,grew,36.24,45.24,78.98,60.82,33.26,560.76
769,9.172188,76.5008685,Kayamkulam,India,726675,694892,0.0457,31783,grew,4.11,6.68,69.59,55.33,103,574.11
770,46.8087794,130.3734556,Jiamusi,China,726622,715965,0.0149,10657,grew,1.52,6.51,6.64,4.37,68.67,323.77
771,12.8698101,74.8430082,Mangalore,India,724159,713357,0.0151,10802,grew,8.7,34.27,166.72,148.86,45.06,1161.58
772,34.6553944,133.9194595,Okayama,Japan,724157,724696,-0.0007,539,declined,1.37,10.88,7.03,5.05,67.95,347.14
773,-21.178333,-47.8066671,Ribeirao Preto,Brazil,724044,714111,0.0139,9933,grew,0.61,4.84,6.55,5.34,53.64,387.19
774,34.3075655,108.7234362,Xianyang Shaanxi,China,723612,715007,0.012,8605,grew,34.33,41.13,137.74,77.2,20.03,961.3
775,1.5557893,30.2519376,Bunia,DR Congo,723276,679418,0.0646,43858,grew,0.48,1.19,14.23,7.37,37.91,363.83
776,49.841952,24.0315921,Lviv,Ukraine,722476,723758,-0.0018,1282,declined,7.51,7.11,10.33,9.15,68.67,280.38
777,37.2793607,49.5846102,Rasht,Iran,722026,712715,0.0131,9311,grew,12.04,81.57,22.24,20.85,0.03,720.98
778,36.4794705,119.2129818,Anqiu,China,721402,682299,0.0573,39103,grew,73.43,61.01,68.33,47.43,25.03,687.6
779,43.6428995,122.2558324,Tongliao,China,720662,702280,0.0262,18382,grew,3.93,6.68,16.64,8.37,70.1,303.75
780,36.6421169,127.4891742,Cheongju,South Korea,720584,717027,0.005,3557,grew,27.18,25.36,15.61,11.8,47.21,373.84
781,32.4935378,74.5411575,Sialkot,Pakistan,720439,705121,0.0217,15318,grew,2.98,21.76,133.58,95.43,37.91,1214.98
782,9.7452286,-63.1799873,Maturin,Venezuela,717788,694716,0.0332,23072,grew,0.08,0.3,3.12,0.98,76.53,208.62
783,44.23052,-91.864325,Buffalo City,South Africa,717067,708559,0.012,8508,grew,1.01,3.43,3.83,3.35,73.67,287.06
784,26.5860102,101.7179276,Panzhihua,China,716878,707134,0.0138,9744,grew,51.5,50.04,39.43,31.07,20.92,620.84
785,30.5061493,105.574542,Suining Sichuan,China,716754,699679,0.0244,17075,grew,14.19,18.85,46.09,34.26,49.35,574.11
786,42.8888552,129.5008425,Yanji,China,716660,695165,0.0309,21495,grew,7.27,7.03,6.36,4.58,68.67,290.39
787,30.9474457,117.8057282,Tongling,China,715946,696639,0.0277,19307,grew,57.22,102.82,139.33,121.86,0.09,974.66
788,23.5715402,111.0139268,Wuzhou,China,715472,696630,0.027,18842,grew,6.02,38.73,121.87,118.81,9.21,841.14
789,17.0604663,-96.7253575,Oaxaca de Juarez,Mexico,714983,704559,0.0148,10424,grew,1.61,0.81,8.41,7.59,90.84,257.02
790,38.8950368,-77.0365427,Washington,United States,714153,709951,0.0059,4202,grew,11.21,55.52,25.61,21.99,27.18,507.36
791,32.0898005,72.6782574,Sargodha,Pakistan,712961,700095,0.0184,12866,grew,2.92,25.71,82.53,54.8,29.33,1014.71
792,21.7718836,72.1416449,Bhavnagar,India,711625,700367,0.0161,11258,grew,3.82,6.08,120.07,68.31,92.98,453.95
793,-28.0023731,153.4145987,Gold Coast,Australia,710650,699226,0.0163,11424,grew,0.49,1.15,3.57,1.32,38.98,213.62
794,36.5853932,109.4828549,Yan'an,China,710029,678619,0.0463,31410,grew,6.44,18.68,57.56,25.77,42.56,410.56
795,-12.8104186,28.2068361,Kitwe,Zambia,709854,685908,0.0349,23946,grew,31.95,9.17,41.71,29.33,6.08,1388.55
796,43.7698712,11.2555757,Florence,Italy,709064,708357,0.001,707,grew,3.61,57.58,36.51,34.63,0.04,1415.25
797,32.7185614,74.8580917,Jammu,India,708612,702085,0.0093,6527,grew,10.49,45.24,96.51,65.46,46.49,1028.06
798,38.2851657,109.7290619,Yulin Shaanxi,China,706571,695614,0.0158,10957,grew,2.3,10.45,119.39,33.39,51.5,260.35
799,19.169335,77.311013,Nanded Waghala,India,705667,689771,0.023,15896,grew,8.23,8.05,69.16,58.13,92.98,480.65
800,31.216036,107.5027564,Dazhou,China,705321,682342,0.0337,22979,grew,19.07,34.62,126.75,100.26,16.99,1201.63
801,13.6316368,79.4231711,Tirupati,India,704615,679456,0.037,25159,grew,5.48,18.34,98.21,80.29,61.51,714.3
802,14.4589855,120.9398889,Bacoor,Philippines,704334,686398,0.0261,17936,grew,30.04,48.67,62.3,37.53,10.55,1201.63
803,-9.535332,16.9364293,Malanje,Angola,704271,665150,0.0588,39121,grew,0.09,1.21,1.07,0.82,12.16,383.85
804,32.6880537,112.0818901,Dengzhou,China,703922,673626,0.045,30296,grew,17.17,48.67,169.42,110.98,7.15,1388.55
805,52.0799838,4.3113461,The Hague,Netherlands,703588,697564,0.0086,6024,grew,1.12,28.79,12.32,12.01,14.84,433.92
806,25.0767425,117.0123483,Longyan,China,703524,691987,0.0167,11537,grew,2.68,5.48,44.12,39.18,20.39,363.83
807,35.027637,111.002141,Yuncheng,China,703194,675082,0.0416,28112,grew,34.33,50.04,186.84,93.47,20.92,974.66
808,37.3886303,-5.9953403,Seville,Spain,702386,703790,-0.002,1404,declined,0.72,11.48,4.13,3.31,52.21,317.1
809,6.3676953,2.4252507,Cotonou,Benin,698868,691949,0.01,6919,grew,1.86,3.09,12.95,5.14,20.92,467.3
810,32.8536216,120.3122464,Dongtai,China,698218,676996,0.0313,21222,grew,27.18,63.06,89.14,71.71,10.91,894.55
811,53.51495,49.407574,Tolyatti,Russia,696889,700252,-0.0048,3363,declined,2.09,9.17,2.63,2.4,57.94,300.41
812,-25.1076701,-64.3494964,Salta,Argentina,696715,684751,0.0175,11964,grew,0.03,0.18,0.96,0.9,46.49,330.45
813,42.222633,-7.9049545,Merca,Somalia,696510,666370,0.0452,30140,grew,0.19,3.43,2.12,1.5,66.52,263.69
814,48.8588897,2.320041,Bali,Indonesia,695940,682065,0.0203,13875,grew,6.44,57.58,47.01,42.21,4.16,747.68
815,30.0393082,121.1501449,Yuyao,China,695704,678841,0.0248,16863,grew,173.57,116.53,116.13,90.23,0,1762.39
816,42.3602534,-71.0582912,Boston,United States,695506,694053,0.0021,1453,grew,3.22,10.45,3.05,2.42,81.54,303.75
817,-18.9188041,-48.2767837,Uberlandia,Brazil,695461,686896,0.0125,8565,grew,0.21,0.8,1.03,0.5,40.05,243.66
818,21.270278,40.415833,Taif,Saudi Arabia,694894,688693,0.009,6201,grew,31.47,19.88,45.25,26.44,74.39,243.66
819,30.9182867,111.9278808,Yuxi,China,693811,662863,0.0467,30948,grew,3.52,9.25,35.61,23.45,42.2,473.98
820,17.9640988,102.6133707,Vientiane,Laos,693594,682542,0.0162,11052,grew,4.65,30.85,120.99,109.1,33.98,2643.59
821,51.4538022,-2.5972985,Bristol,United Kingdom,693552,686210,0.0107,7342,grew,1.36,21.42,7.34,6.69,17.52,393.87
822,-9.0478679,-70.5264976,Akure,Nigeria,690533,665524,0.0376,25009,grew,0,0.01,0.5,0.5,1.86,210.29
823,14.1419291,44.1389849,Ibb,Yemen,690456,648889,0.0641,41567,grew,5.78,2.7,54.85,15.02,65.8,205.28
824,20.5218445,-100.8139609,Celaya,Mexico,689735,680971,0.0129,8764,grew,27.18,3.3,10.81,10.27,92.98,253.68
825,14.7978677,42.9544872,Al-Hudaydah,Yemen,689640,668899,0.031,20741,grew,1.22,1.36,37.75,9.24,82.25,257.02
826,36.8150283,127.1140654,Cheonan,South Korea,688543,679802,0.0129,8741,grew,24.56,19.71,13.3,9.16,57.22,333.79
827,-23.1887668,-46.884506,Jundiai,Brazil,688192,678521,0.0143,9671,grew,3.31,7.37,12.39,9.49,110.15,350.48
828,17.166667,77.083333,Gulbarga,India,687882,673027,0.0221,14855,grew,15.02,30.85,92.96,80.41,66.52,747.68
829,-12.6076318,15.7411039,Huambo,Angola,687795,671413,0.0244,16382,grew,0.47,1.03,6.64,1.83,26.82,323.77
830,45.4077172,11.8734455,Padova,Italy,687698,683604,0.006,4094,grew,2.86,52.09,56.75,50.54,0.06,1108.17
831,23.5350475,87.3380425,Durgapur,India,686568,675384,0.0166,11184,grew,26.94,43.87,143.22,105.87,47.92,1361.85
832,15.8309251,78.0425373,Kurnool,India,685818,665186,0.031,20632,grew,5.31,7.54,66.27,57.48,69.38,520.71
833,31.7754152,-106.464634,El Paso,United States,685434,683581,0.0027,1853,grew,0.43,0.73,21.85,4.98,104.43,220.3
834,47.2186371,-1.5541362,Nantes,France,685377,677766,0.0112,7611,grew,0.73,14.05,11.84,9.59,16.45,347.14
835,26.331667,43.971667,Buraydah,Saudi Arabia,684626,668775,0.0237,15851,grew,2.03,85,175.79,58.67,17.7,467.3
836,45.8131847,15.9771774,Zagreb,Croatia,684524,684878,-0.0005,354,declined,1.12,32.56,32.86,29.19,22.53,460.63
837,31.8782976,120.5514595,Zhangjiagang,China,683500,656036,0.0419,27464,grew,17.17,24.33,48.8,38.54,54.36,527.38
838,-0.0226903,109.3447488,Pontianak,Indonesia,680655,667910,0.0191,12745,grew,0.41,3.26,26.38,19.7,24.68,393.87
839,44.6173543,27.314991,Amara,Iraq,680156,655663,0.0374,24493,grew,1.15,9.94,19.49,13.78,55.79,353.81
840,50.6451381,5.5734203,Liege,Belgium,679895,677589,0.0034,2306,grew,2.12,52.09,21.35,18.51,1.39,467.3
841,31.4590371,121.1264772,Taicang,China,679623,654441,0.0385,25182,grew,7.87,10.63,19.91,15.33,79.39,337.12
842,36.1622767,-86.7742984,Nashville,United States,678448,674634,0.0057,3814,grew,1.64,23.31,14.51,12.37,14.48,473.98
843,44.40726,8.9338624,Genoa,Italy,677222,679613,-0.0035,2391,declined,0.97,42.84,56.32,54.72,0.51,1214.98
844,30.3925379,114.8898988,Ezhou,China,676600,668405,0.0123,8195,grew,30.99,91.85,179.95,159.49,1.22,1068.12
845,9.8694792,-83.7980749,Santiago,Dominican Republic,672272,664575,0.0116,7697,grew,0.18,1.36,1.73,0.94,32.19,173.57
846,-37.9977225,-57.5482703,Mar Del Plata,Argentina,672116,665707,0.0096,6409,grew,0.33,0.54,6.46,1.51,40.05,203.61
847,9.4051992,-0.8423986,Tamale,Ghana,671812,641911,0.0466,29901,grew,0.56,3.56,129.91,48.47,71.53,347.14
848,33.6306299,114.6423617,Zhoukou,China,671419,650060,0.0329,21359,grew,47.21,83.63,303.8,238.25,0,2323.15
849,51.7687323,19.4569911,Lodz,Poland,671395,676830,-0.008,5435,declined,29.8,22.96,23.37,19.27,54.36,410.56
850,-1.6665685,29.225652,Goma,DR Congo,670218,634197,0.0568,36021,grew,1.85,10.97,37.5,23.91,9.48,847.82
851,35.4729886,-97.5170536,Oklahoma City,United States,669347,662202,0.0108,7145,grew,0.69,6,6.33,6.17,60.8,300.41
852,35.5200185,35.7781044,Lattakia,Syria,668809,655714,0.02,13095,grew,0.31,0.3,1.34,1.01,110.15,273.71
853,36.1672559,-115.148516,Las Vegas,United States,667501,659410,0.0123,8091,grew,5.36,24.68,29.47,9.43,84.4,340.46
854,28.3251866,37.6328648,Tabuk,Saudi Arabia,667155,657277,0.015,9878,grew,1.24,2.44,131.07,35.85,89.41,233.65
855,32.7165184,108.9912989,Ankang,China,666656,636293,0.0477,30363,grew,6.74,12.34,48.66,34.63,55.79,580.79
856,6.112331,125.1717145,General Santos City,Philippines,665418,652723,0.0194,12695,grew,0.47,5.14,12.66,11.23,10.1,453.95
857,38.7063767,116.1062203,Renqiu,China,664262,640271,0.0375,23991,grew,80.11,106.93,126.02,81.08,1.81,1094.82
858,42.3315509,-83.0466403,Detroit,United States,664139,667085,-0.0044,2946,declined,7.27,21.42,7.69,5.79,61.51,353.81
859,26.2235041,50.5822436,Manama,Bahrain,663893,634508,0.0463,29385,grew,0.45,0.84,45.67,24.46,110.15,260.35
860,27.6995215,111.9890658,Loudi,China,663765,639167,0.0385,24598,grew,25.99,25.02,70.82,44.28,50.07,460.63
861,35.8242715,127.1480657,Jeonju,South Korea,663607,663145,0.0007,462,grew,13.71,18.51,9.03,6.64,57.94,313.76
862,27.2858633,105.2865997,Bijie,China,662697,637795,0.039,24902,grew,8.11,7.63,31.36,27.4,61.51,390.53
863,45.5202471,-122.6741949,Portland,United States,662549,658645,0.0059,3904,grew,3.04,10.37,5.19,3.86,90.12,313.76
864,13.0611195,5.3152203,Sokoto,Nigeria,662173,641249,0.0326,20924,grew,0.77,1.82,179.7,50.87,82.97,333.79
865,21.9647835,108.620787,Qinzhou,China,661953,644359,0.0273,17594,grew,8.82,18.34,79.42,76.93,27.9,714.3
866,22.1757605,113.5514142,Macao,Macau,661838,651875,0.0153,9963,grew,54.84,80.88,155.67,128.62,0.39,1228.33
867,41.2946149,36.3320596,Samsun,Turkey,660863,642592,0.0284,18271,grew,1.27,1.76,2.94,2.57,77.96,280.38
868,37.7733197,29.0869273,Denizli,Turkey,660643,644782,0.0246,15861,grew,5.31,12.85,16.04,14.13,65.09,320.44
869,29.9873344,122.2030363,Zhoushan,China,659777,647419,0.0191,12358,grew,7.15,13.02,44.65,35.67,61.51,480.65
870,45.6119057,8.8520522,Busto Arsizio,Italy,657698,654258,0.0053,3440,grew,5.25,55.52,59.84,55.76,0,1482.01
871,30.6316971,120.5610365,Tongxiang,China,656136,629527,0.0423,26609,grew,23.6,70.6,68.18,56.74,16.09,627.52
872,24.4490237,117.8132438,Longhai,China,655081,631203,0.0378,23878,grew,30.52,52.09,174.85,171.06,0,2136.23
873,35.7631348,115.0234071,Puyang,China,654261,632347,0.0347,21914,grew,58.17,76.08,130.37,92.65,8.76,1001.36
874,24.3705146,111.3590955,Hezhou,China,654185,625304,0.0462,28881,grew,10.01,30.5,130.41,126.55,20.21,727.65
875,25.5310311,78.652689,Jhansi,India,653879,642709,0.0174,11170,grew,3.67,5.48,62.11,47.92,94.41,447.27
876,29.5827203,105.0544575,Neijiang,China,653866,645874,0.0124,7992,grew,51.02,35.3,57.43,41.57,48.64,687.6
877,56.866557,53.2094166,Izhevsk,Russia,651601,651338,0.0004,263,grew,1.45,1.93,1.75,1.61,67.23,273.71
878,35.1490215,-90.0516285,Memphis,United States,651011,651042,0,31,declined,1.45,13.37,10.48,9.78,31.11,343.8
879,22.4732415,70.0552102,Jamnagar,India,650977,644738,0.0097,6239,grew,1.19,9.43,120.25,75.72,72.24,560.76
880,13.322312,43.252987,As-Suways,Egypt,649368,638229,0.0175,11139,grew,6.44,3.51,83.99,19.18,74.39,267.03
881,11.3692044,77.6766269,Erode,India,647988,634977,0.0205,13011,grew,9.54,22.28,132.82,111.61,87.26,727.65
882,25.2856329,51.5264162,Doha,Qatar,646177,641380,0.0075,4797,grew,27.42,27.76,102.35,52.87,100.14,343.8
883,20.1165413,-98.7413535,Pachuca de Soto,Mexico,646101,633453,0.02,12648,grew,14.54,1.95,32.66,29.53,191.69,494
884,31.8729183,121.1771295,Haimen,China,645598,626067,0.0312,19531,grew,10.25,10.37,20.6,15.32,76.53,367.17
885,41.7829291,129.7825241,Chongjin,North Korea,645488,642447,0.0047,3041,grew,1.27,2.31,1.02,0.63,80.11,267.03
886,-6.766417,-79.8408308,Chiclayo,Peru,645366,637255,0.0127,8111,grew,0.09,0.23,13.31,2.9,30.4,250.34
887,39.6540161,106.7879045,Wuhai,China,644895,630295,0.0232,14600,grew,24.8,33.59,83.55,24.41,32.54,293.73
888,47.3355856,130.2836718,Hegang,China,644894,638855,0.0095,6039,grew,2.83,5.74,6.91,5.98,72.96,323.77
889,18.2534658,109.5034392,Sanya,China,644727,625290,0.0311,19437,grew,2.18,11.14,35.31,32.16,5.45,400.54
890,31.2457442,34.7925181,Be'er Sheva,Israel,644278,637539,0.0106,6739,grew,5.19,8.14,5.54,2.41,80.11,233.65
891,24.833333,-104.833333,Durango,Mexico,642750,630982,0.0187,11768,grew,0.02,0.09,0.81,0.5,81.54,185.25
892,23.6579595,86.0839161,Bokaro Steel City,India,642145,633551,0.0136,8594,grew,9.54,14.05,104.79,75.23,73.67,741.01
893,51.1263106,16.9781963,Wroclaw,Poland,642085,641401,0.0011,684,grew,11.09,11.31,15.08,12.79,78.68,327.11
894,52.289597,104.280586,Irkutsk,Russia,641504,638843,0.0042,2661,grew,3.87,19.19,10.07,8.69,41.49,500.68
895,53.347402,83.7784496,Barnaul,Russia,640396,639783,0.001,613,grew,34.33,11.65,6.04,5.88,65.8,260.35
896,19.7540045,96.1344976,Nay Pyi Taw,Myanmar,639759,593596,0.0778,46163,grew,1.65,3.17,61.33,49.8,37.55,600.82
897,-20.1560599,28.5887063,Bulawayo,Zimbabwe,639722,638188,0.0024,1534,grew,3.37,3.38,53.1,51.71,5.81,393.87
898,28.8101339,113.0613336,Miluo,China,639015,604159,0.0577,34856,grew,61.99,108.3,146.17,121.08,0,1068.12
899,45.4371908,12.3345898,Venezia,Italy,638264,637245,0.0016,1019,grew,6.44,56.21,58.58,52.43,0,1161.58
900,-1.611572,102.779699,Jambi,Indonesia,637037,626192,0.0173,10845,grew,0.69,2.06,12.89,10.32,12.52,273.71
901,25.2689153,55.3152795,Safaqis,Tunisia,636613,630175,0.0102,6438,grew,8.23,35.64,55.67,20.32,45.06,350.48
902,48.481403,135.076935,Khabarovsk,Russia,636254,633151,0.0049,3103,grew,0.54,2.27,3.51,3.47,81.54,277.04
903,34.3508273,62.2164003,Herat,Afghanistan,635579,605575,0.0495,30004,grew,2.35,36.67,40.06,25,80.11,2563.48
904,51.2254018,6.7763137,Duesseldorf,Germany,635046,631942,0.0049,3104,grew,17.41,50.72,31.7,24.41,0,707.63
905,54.596391,-5.9301829,Belfast,United Kingdom,634594,630632,0.0063,3962,grew,1.94,6.26,5.58,4.89,80.11,273.71
906,31.0440068,46.2575523,Nasiriyah,Iraq,634492,616994,0.0284,17498,grew,4.47,1.5,26.31,20.32,108.72,277.04
907,48.7784485,9.1800132,Stuttgart,Germany,633808,632692,0.0018,1116,grew,7.63,43.53,15.82,13.52,0.03,554.09
908,45.4384958,10.9924122,Verona,Italy,633128,629658,0.0055,3470,grew,1.04,24.33,37.91,32.97,37.19,567.44
909,22.2142849,84.8724369,Raurkela,India,631310,622636,0.0139,8674,grew,6.02,9.6,58.67,46.11,57.94,527.38
910,32.6075,43.910833,Jubayl,Saudi Arabia,631060,605743,0.0418,25317,grew,13.95,30.5,64.53,20.98,62.23,487.33
911,56.9493977,24.1051846,Riga,Latvia,627763,630692,-0.0046,2929,declined,35.29,78.14,212.68,178.07,0.01,2216.34
912,27.1793466,56.2781423,Bandar Abbas,Iran,627174,606633,0.0339,20541,grew,107.77,117.9,72.02,46.8,0,1134.87
913,16.7028412,74.2405329,Kolhapur,India,626791,619358,0.012,7433,grew,10.49,17.99,110,87.5,65.8,774.38
914,10.6762836,122.9513786,Bacolod,Philippines,624783,613437,0.0185,11346,grew,1.12,3,5.89,4.51,48.64,317.1
915,45.649723,9.2053919,Seregno,Italy,624706,619871,0.0078,4835,grew,4.05,47.3,84.35,76.07,0,1895.91
916,54.3107593,48.3642771,Ulyanovsk,Russia,624103,624896,-0.0013,793,declined,1.13,2.46,1.99,1.76,74.39,273.71
917,-3.1982504,29.0071409,Uvira,DR Congo,622862,589731,0.0562,33131,grew,0.62,1.56,10.01,4.92,30.04,447.27
918,24.2258413,55.7474052,Al-Ain,United Arab Emirates,622675,610887,0.0193,11788,grew,3.31,12.85,202.46,56.63,55.79,250.34
919,41.1257843,16.8620293,Bari,Italy,622590,622377,0.0003,213,grew,1.8,9.25,10.51,8.32,87.26,353.81
920,22.6570263,110.1765019,Yulin Guangxi,China,622115,613668,0.0138,8447,grew,14.31,21.59,78.19,73.78,16.99,714.3
921,26.4691,74.639,Ajmer,India,621505,613617,0.0129,7888,grew,3.7,12.68,82.08,51.8,80.82,487.33
922,1.5574127,110.3439862,Kuching,Malaysia,621114,611566,0.0156,9548,grew,1.03,1.69,15.43,8.8,40.05,257.02
923,11.861324,-15.583055,Bissau,Guinea-Bissau,620974,599714,0.0355,21260,grew,1.03,0.87,276.77,93.46,56.51,370.5
924,10.6228284,10.0287754,Bauchi,Nigeria,620800,597679,0.0387,23121,grew,0.62,1.15,517.6,121.27,70.1,300.41
925,46.2017559,6.1466014,Geneva,Switzerland,620131,613373,0.011,6758,grew,0.74,9.85,4.07,3.06,57.22,273.71
926,30.2745483,109.4833079,Enshi,China,619178,586667,0.0554,32511,grew,1.77,3.64,13.92,11.78,91.55,310.42
927,26.254911,105.9437773,Anshun,China,619116,600121,0.0317,18995,grew,4.11,11.31,35.43,33.85,54.36,427.25
928,6.9387469,79.8541134,Colombo,Sri Lanka,619001,612535,0.0106,6466,grew,7.51,27.42,39.42,28.69,35.05,1001.36
929,23.4423808,112.6997273,Sihui,China,618859,591080,0.047,27779,grew,5.36,69.23,78.48,75.75,2.84,1001.36
930,33.069049,107.018889,Hanzhong,China,618109,605327,0.0211,12782,grew,10.85,23.65,83.11,58.49,40.05,814.44
931,23.1885131,75.7716562,Ujjain,India,617812,607055,0.0177,10757,grew,3.16,14.22,88.15,60.63,55.79,620.84
