rank,Latitude,Longitude,Name of City,Country,2021 Population,2020 Population,Growth,Population Difference,Population Change,SO2,NO2,PM10,PM2.5,O3,CO
673,27.1773663,78.389912,Firozabad,India,845746,821043,0.0301,24703,grew,6.26,12.85,70.34,51.91,78.68,580.79
674,0.390002,9.454001,Libreville,Gabon,845100,834204,0.0131,10896,grew,3.87,4.76,7.55,5.31,14.48,473.98
675,30.200255,115.0333466,Huangshi,China,844307,828324,0.0193,15983,grew,15.5,72.66,192.55,171.89,9.84,1081.47
676,51.530018,46.034683,Saratov,Russia,840883,842680,-0.0021,1797,declined,4.95,9.34,3.57,3.04,71.53,300.41
677,31.9553965,35.8906094,Banghazi,Libya,836031,823974,0.0146,12057,grew,4.59,12.51,6.38,3.26,85.12,267.03
678,39.4697065,-0.3763353,Valencia,Spain,835341,833724,0.0019,1617,grew,1.94,54.15,12.42,10.7,11.18,423.91
679,28.8744722,105.4385063,Luzhou,China,833637,822996,0.0129,10641,grew,27.66,50.72,68.35,46.66,19.31,714.3
680,46.8137431,-71.2084061,Quebec City,Canada,831776,826109,0.0069,5667,grew,9.18,13.02,8.58,6.54,64.37,397.21
681,28.7701941,104.6289601,Yibin,China,831013,814166,0.0207,16847,grew,20.5,24.33,33.64,22.24,62.23,447.27
682,37.5014422,126.7660139,Bucheon,South Korea,829592,832093,-0.003,2501,declined,18.12,15.08,17.85,12.73,56.51,367.17
683,4.5986817,101.0900236,Ipoh,Malaysia,827719,813553,0.0174,14166,grew,13.59,38.04,55.78,52.33,30.04,1201.63
684,49.8955367,-97.1384584,Winnipeg,Canada,824771,816593,0.01,8178,grew,1.07,2.79,3.31,2.6,58.65,303.75
685,24.8500662,89.3728431,Bogra,Bangladesh,820297,775034,0.0584,45263,grew,1.8,26.73,132.35,102.34,19.31,1028.06
686,-5.056395,12.3211749,Cabinda,Angola,819452,777697,0.0537,41755,grew,0.09,2.04,4.62,3.65,34.33,440.6
687,5.5324032,7.4924165,Umuahia,Nigeria,816983,773822,0.0558,43161,grew,9.3,15.25,270.98,129.1,34.69,2162.93
688,32.127372,114.0676596,Xinyang,China,816967,797369,0.0246,19598,grew,42.92,72.66,159.25,79.39,0.03,881.2
689,32.9139151,119.8476035,Xinghua,China,815780,791297,0.0309,24483,grew,21.46,74.03,143.81,118.74,0.18,1255.04
690,54.9738474,-1.6131572,Newcastle upon Tyne,United Kingdom,813807,809481,0.0053,4326,grew,2.44,6.34,9.77,7.69,81.54,270.37
691,37.85862,113.5730276,Yangquan,China,813696,794262,0.0245,19434,grew,51.02,42.84,87.33,34.13,38.98,433.92
692,40.6403167,22.9352716,Thessaloniki,Greece,812964,812166,0.001,798,grew,2.53,4.16,6.11,4.97,92.98,273.71
693,26.423568,111.6081495,Yongzhou,China,809415,781940,0.0351,27475,grew,26.46,45.24,97.37,84.39,23.6,654.22
694,44.4938203,11.3426327,Bologna,Italy,808931,805986,0.0037,2945,grew,1.13,34.62,46.37,42.26,0.3,847.82
695,37.5493473,45.0682863,Orumiyeh,Iran,808149,793044,0.019,15105,grew,13.47,49.35,28.11,26.4,75.1,527.38
696,30.919414,113.9516901,Xiaogan,China,806258,783483,0.0291,22775,grew,19.07,104.19,182.99,158.77,1.77,1255.04
697,35.2477266,115.4464761,Heze,China,804759,795246,0.012,9513,grew,53.41,85,152.03,114.78,4.2,1255.04
698,10.1898503,-64.7087416,Barcelona-Puerto La Cruz,Venezuela,804488,793641,0.0137,10847,grew,1.39,0.47,3.1,0.97,73.67,226.97
699,11.8395375,13.1536214,Maiduguri,Nigeria,802988,786485,0.021,16503,grew,0.23,0.91,409.59,101.46,68.67,247
700,41.7238743,86.173541,Kuerle,China,801993,761329,0.0534,40664,grew,1,4.93,204.88,58.79,78.68,263.69
701,37.6452283,138.7669125,Niigata,Japan,801982,804298,-0.0029,2316,declined,0.43,1.24,5.16,3.36,95.84,270.37
702,39.7666813,30.5255947,Eskisehir,Turkey,801612,783669,0.0229,17943,grew,3.22,6.6,3.8,3.39,81.54,263.69
703,9.740204,76.3324672,Cherthala,India,801264,764135,0.0486,37129,grew,4.05,6.77,61.28,46.36,104.43,494
704,28.9268429,118.8759775,Quzhou,China,798191,757655,0.0535,40536,grew,25.27,104.19,126.46,121.99,0.07,1028.06
705,29.7296617,120.1805427,Zhuji,China,796974,777536,0.025,19438,grew,46.73,112.41,142.83,126.62,0,1148.22
706,-23.5003451,-47.4582864,Sorocaba,Brazil,795569,785997,0.0122,9572,grew,0.92,3.98,17.89,16.37,104.43,353.81
707,40.8515302,122.7475513,Haicheng,China,795424,783484,0.0152,11940,grew,602.72,76.08,153.59,130.18,0,4539.49
708,6.5536094,7.4143061,Enugu,Nigeria,795271,772872,0.029,22399,grew,4.83,9.34,195.93,81.96,47.92,1041.41
709,52.9534193,-1.1496461,Nottingham,United Kingdom,794008,787610,0.0081,6398,grew,4.47,14.57,10.55,9.52,51.5,320.44
710,34.5797531,105.7062921,Tianshui,China,790461,765372,0.0328,25089,grew,15.74,26.39,69.66,46.96,44.7,727.65
711,40.7515443,120.8404789,Huludao,China,790403,775322,0.0195,15081,grew,7.87,10.8,29.61,12.56,67.23,347.14
712,19.5408338,-96.9146374,Xalapa,Mexico,787349,775620,0.0151,11729,grew,7.99,19.19,26.06,22.99,118.73,567.44
713,28.0159286,73.3171367,Bikaner,India,786652,771878,0.0191,14774,grew,4.35,13.02,141.19,83.84,76.53,540.73
714,50.1106444,8.6820917,Frankfurt,Germany,784780,777156,0.0098,7624,grew,3.55,38.04,34.55,30.59,0.18,480.65
715,27.5611227,109.963365,Huaihua,China,784323,751803,0.0433,32520,grew,10.01,8.57,26.21,18.61,70.81,340.46
716,15.2241917,101.9313754,Nakhon Ratchasima,Thailand,783180,774022,0.0118,9158,grew,2.15,12.85,70.74,63.49,37.19,894.55
